canonical_name,product_count,functional_groups,mapping_evidence,mapped
수크로오스,8,,,False
아스파틱애씨드,8,,,False
에톡시다이글라이콜,8,,,False
옥수수전분,8,,,False
트레오닌,8,,,False
폴리글리세릴-2스테아레이트,8,,,False
다마스크장미꽃수,7,,,False
다이아이소스테아릴말레이트,7,,,False
람노오스,7,,,False
레스베라트롤,7,,,False
미리스틸알코올,7,,,False
소듐메타포스페이트,7,,,False
소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,7,,,False
온천수,7,,,False
자일리틸글루코사이드,7,,,False
징크글루코네이트,7,,,False
캐스터오일/아이피디아이코폴리머,7,,,False
트라이데세스-10,7,,,False
트라이하이드록시스테아린,7,,,False
펜타에리스리틸테트라아이소스테아레이트,7,,,False
폴리글리세릴-4올리에이트,7,,,False
피토스테릴/베헤닐/옥틸도데실라우로일글루타메이트,7,,,False
하이드록시에틸우레아,7,,,False
하이드록시프로필비스팔미타마이드엠이에이,7,,,False
글리세릴폴리메타크릴레이트,6,,,False
라우릴알코올,6,,,False
메틸다이아이소프로필프로피온아마이드,6,,,False
바이오틴,6,,,False
셀룰로오스검,6,,,False
소듐메타바이설파이트,6,,,False
소듐포스페이트,6,,,False
아라비아고무나무검,6,,,False
아이소펜틸다이올,6,,,False
에탄올,6,,,False
유채스테롤,6,,,False
징크피씨에이,6,,,False
코코-카프릴레이트/카프레이트,6,,,False
콜라겐아미노산,6,,,False
판토락톤,6,,,False
포스파티딜콜린,6,,,False
포타슘솔베이트,6,,,False
포타슘하이드록사이드,6,,,False
폴리글리세릴-6다이스테아레이트,6,,,False
하이드록시프로필스타치포스페이트,6,,,False
글라이코젠,5,,,False
글라이코프로테인,5,,,False
데실글루코사이드,5,,,False
만노오스,5,,,False
메틸카프로오일타이로지네이트,5,,,False
발린,5,,,False
비피다발효용해물,5,,,False
소듐글루코네이트,5,,,False
소듐락테이트,5,,,False
소듐서팩틴,5,,,False
소듐카보머,5,,,False
수크로오스다이스테아레이트,5,,,False
시스테인,5,,,False
아가,5,,,False
아라키딕애씨드,5,,,False
아미노메틸프로판다이올,5,,,False
아세틸글루코사민,5,,,False
아이소류신,5,,,False
알루미늄하이드록사이드,5,,,False
카르노신,5,,,False
칼슘클로라이드,5,,,False
페닐알라닌,5,,,False
펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트,5,,,False
포타슘세틸포스페이트,5,,,False
폴리글리세릴-3폴리리시놀리에이트,5,,,False
폴리글리세릴-6카프릴레이트,5,,,False
폴리솔베이트20,5,,,False
폴리솔베이트80,5,,,False
프롤린,5,,,False
피씨에이,5,,,False
하이드록시시트로넬알,5,,,False
하이드롤라이즈드식물성단백질,5,,,False
하이드롤라이즈드옥수수전분,5,,,False
