feature_name,feature_block,description,skin_conditioned,direction,evidence_weight,source_id,source_url
v4_niacinamide_prominence,ingredient_presence_order,나이아신아마이드 표기 순서 Proxy,False,model_learns,,ingredient list,
v4_has_panthenol,ingredient_presence_order,판테놀 포함 여부,False,model_learns,,ingredient list,
v4_panthenol_top10,ingredient_presence_order,판테놀 상위 10성분 표기 여부,False,model_learns,,ingredient list,
v4_panthenol_prominence,ingredient_presence_order,판테놀 표기 순서 Proxy,False,model_learns,,ingredient list,
v4_has_ceramide,ingredient_presence_order,세라마이드 계열 포함 여부,False,model_learns,,ingredient list,
v4_ceramide_prominence,ingredient_presence_order,세라마이드 계열 표기 순서 Proxy,False,model_learns,,ingredient list,
v4_has_salicylic,ingredient_presence_order,살리실릭애씨드 계열 포함 여부,False,model_learns,,ingredient list,
v4_salicylic_prominence,ingredient_presence_order,살리실릭애씨드 계열 표기 순서 Proxy,False,model_learns,,ingredient list,
v4_has_cholesterol,ingredient_presence_order,콜레스테롤 포함 여부,False,model_learns,,ingredient list,
v4_has_fatty_acid,ingredient_presence_order,선정 지방산 포함 여부,False,model_learns,,ingredient list,
v4_acid_exact_count,ingredient_presence_order,선정 산·각질 성분의 고유 개수,False,model_learns,,ingredient list,
v4_rule_dry_hydration_completeness,clinical,건성·약건성의 보습·유연·밀폐 구성 완성도,True,support,1.0,PMID:31532576,https://pubmed.ncbi.nlm.nih.gov/31532576/
v4_rule_dry_barrier_lipid_completeness,clinical,세라마이드·콜레스테롤·지방산 장벽지질 구성 완성도,True,support,0.64,PMID:8618046,https://pubmed.ncbi.nlm.nih.gov/8618046/
v4_rule_sensitive_recovery_system,clinical,판테놀 또는 나이아신아마이드와 장벽·진정 기능군의 조합,True,support,0.48,PMID:21982351,https://pubmed.ncbi.nlm.nih.gov/21982351/
v4_rule_sensitive_fragrance_load,caution,민감성 피부의 향료 부담,True,caution,0.8,SCCS fragrance allergens; PMID:14572300,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs_en
v4_rule_sensitive_acid_load,caution,민감성 피부의 산·각질 성분 부담,True,caution,0.448,PMID:15725565,https://pubmed.ncbi.nlm.nih.gov/15725565/
v4_rule_sensitive_essential_oil_load,caution,민감성 피부의 에센셜오일 부담,True,caution,0.288,PMID:24175401,https://pubmed.ncbi.nlm.nih.gov/24175401/
v4_rule_oily_niacinamide_prominence,clinical,지성 피부에서 나이아신아마이드 표기 prominence,True,support,0.8,PMID:16766489,https://pubmed.ncbi.nlm.nih.gov/16766489/
v4_rule_oily_heavy_load,sensory,왁스·버터·식물성 오일·탄화수소 밀폐제·지방알코올 기반 Heavy 처방 Proxy,True,exploratory,0.0,PMID:16116522; PMID:22085371,https://pubmed.ncbi.nlm.nih.gov/16116522/
v4_rule_oily_light_system,sensory,휘발성 실리콘·가벼운 에스터·실리콘 기반 Light 처방 Proxy,True,exploratory,0.0,PMID:16116522; PMID:22085371,https://pubmed.ncbi.nlm.nih.gov/22085371/
v4_rule_trouble_niacinamide_ceramide,clinical,트러블성 피부의 나이아신아마이드·세라마이드 동시 포함,True,support,0.7,PMID:38299457,https://pubmed.ncbi.nlm.nih.gov/38299457/
v4_rule_trouble_salicylic_barrier,clinical,살리실릭애씨드와 장벽 기능군의 보상형 조합 가설,True,support,0.2,PMID:15725565; PMID:38299457,https://pubmed.ncbi.nlm.nih.gov/38299457/
v4_rule_acid_without_barrier_compensation,caution,산 성분은 있으나 장벽 기능군 구성이 낮은 경우,True,caution,0.2,PMID:15725565,https://pubmed.ncbi.nlm.nih.gov/15725565/
v4_evidence_support_score,evidence_summary,Support 방향 규칙 강도×근거 신뢰도의 합,True,model_learns,,derived from evidence rules,
v4_evidence_caution_score,evidence_summary,Caution 방향 규칙 강도×근거 신뢰도의 합,True,model_learns,,derived from evidence rules,
v4_evidence_conflict_score,evidence_summary,Support와 Caution 점수가 동시에 큰 정도,True,model_learns,,derived from evidence rules,
